admin_unit_code,sub_unit_code,site_name,plot_name,location_type,year,date,start_time,end_time,observer,visit,interval_length,id_method,distance,flyover_observed,sex,common_name,scientific_name,acceptedtsn,npstaxoncode,aou_code,pif_watchlist_status,regional_stewardship_status,temperature,humidity,sky,wind,disturbance,initial_three_min_cnt,habitat_type,taxoncode,previously_obs
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 Min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,Eato,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,True,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 Min,Calling,<= 50 Meters,False,Undetermined,White-Breasted Nuthatch,Sitta Carolinensis,178775.0,90935.0,Wbnu,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,True,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 Min,Calling,50 - 100 Meters,False,Undetermined,Red-Bellied Woodpecker,Melanerpes Carolinus,178195.0,84865.0,Rbwo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,False,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 Min,Singing,<= 50 Meters,False,Undetermined,Orchard Oriole,Icterus Spurius,179064.0,93634.0,Oror,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,False,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 Min,Visualization,<= 50 Meters,False,Undetermined,Northern Mockingbird,Mimus Polyglottos,178620.0,88394.0,Nomo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,False,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 Min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,False,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 Min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,True,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 Min,Singing,<= 50 Meters,False,Undetermined,Horned Lark,Eremophila Alpestris,554256.0,264079.0,Hola,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,True,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 Min,Singing,<= 50 Meters,False,Undetermined,Mourning Dove,Zenaida Macroura,177125.0,82737.0,Modo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,True,Forest,,
Anti,,Anti 1,Anti-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 Min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 Mph) Smoke Rises Vertically,No Effect On Count,False,Forest,,
